Ime objekta,Podrijetlo imena
Vidrilovka,preuzeto kao lokalni naziv
Vražje babe jama,smišljeno novo
Upad va dolu,smišljeno novo
Jama na Lučici,smišljeno prema toponimu
Plosnata špilja,smišljeno novo
Zero,smišljeno novo
Rokovka,smišljeno novo
Jama prije okretaljke,smišljeno novo
Tučepska Vilenjača,preuzeto kao lokalni naziv
Trojama,smišljeno novo
Vija peć,preuzeto kao lokalni naziv
Na pukotinama,smišljeno novo
Jama na Selinama,nepoznato podrijetlo
Kapalica,smišljeno novo
Jama u Klekovim glavicama,smišljeno prema toponimu
Bosnić ponor,preuzeto kao lokalni naziv
Jama kobasica,smišljeno novo
Jama u nategu,smišljeno novo
Kikulja,smišljeno novo
Pećina Križanjovica,preuzeto kao lokalni naziv
Jama Dama,smišljeno novo
Kalvarija,preuzeto kao lokalni naziv
Zemljano dno,smišljeno novo
GP,smišljeno novo
Jama bez mačete,smišljeno novo
Nova Nikolićeva,smišljeno novo
Hodakova špilja,preuzeto iz literature
Špilja u uvali Predpeć,nepoznato podrijetlo
Kuhlschrank,smišljeno novo
Kopila 2,smišljeno prema toponimu
Ledenica kraj TV bivka,smišljeno novo
Batićan 3,preuzeto kao lokalni naziv
Hanžekica,smišljeno novo
Dentalni granulom u grebenu,smišljeno novo
Lipanjska jama,smišljeno novo
Vučja gozba,smišljeno novo
Nozdarica,preuzeto kao lokalni naziv
Jama u Kreševu,smišljeno prema toponimu
Špilja pod Runjavom glavicom,smišljeno prema toponimu
Šatarina,preuzeto kao lokalni naziv
Ulat,smišljeno novo
Jama kod Mušterića,smišljeno prema toponimu
Botušića bezdanka,preuzeto kao lokalni naziv
Jama Biribaci 1,preuzeto kao lokalni naziv
B 23,smišljeno novo
Tamnica na Tavanima,preuzeto kao lokalni naziv
Špilja Purnica,preuzeto sa karte
Vela špilja u Krugu,smišljeno novo
Strgani gležanj - Knež,smišljeno novo
Pećina kod Zvonika 4,smišljeno prema toponimu
Dimnjačareva špilja,preuzeto kao lokalni naziv
Jama Marija na Krasu,smišljeno prema toponimu
Andromeda,smišljeno novo
Snježnica 19,smišljeno novo
Jama na Jančariji,smišljeno prema toponimu
Špilja u Stupinu dolu,smišljeno prema toponimu
Špiljica u brečama,smišljeno novo
Stublenka,smišljeno prema toponimu
Jama pod pritiskom 2,smišljeno novo
Palovac,preuzeto iz literature
Govedija jama,smišljeno novo
Jama kod križa u Dočićima,smišljeno prema toponimu
Ne može,smišljeno novo
Jama SKH,smišljeno novo
Kaverna za anale,smišljeno novo
Odbijena jama,smišljeno novo
Ćosina pećina,preuzeto sa karte
Jama nad kavernom,smišljeno novo
Mokra peć,preuzeto kao lokalni naziv
Čudinka,preuzeto kao lokalni naziv
O njemu sam razmišljao,smišljeno novo
Đokina jama 2,smišljeno prema toponimu
Pirišće 2,preuzeto kao lokalni naziv
Jama Tisućica,smišljeno novo
Mala ledenica,preuzeto kao lokalni naziv
Paracepinka,smišljeno prema toponimu
Strelčeva jama,smišljeno novo
Vranja peć,preuzeto kao lokalni naziv
Poskok,smišljeno novo
Špajza pod Velikom gredom,smišljeno prema toponimu
Jama kod Puležanskog dolca,smišljeno prema toponimu
G29,smišljeno novo
Lucijina jama,preuzeto kao lokalni naziv
Bajićeva špilja 1,preuzeto kao lokalni naziv
Kaverna na stacionaži 1+415 Velika,preuzeto kao lokalni naziv
Kojići pećina 2,smišljeno prema toponimu
Jama starih papršnjaka,smišljeno novo
Dvorac,smišljeno novo
Feroroše,smišljeno novo
Bikovica,preuzeto sa karte
Modra pećina,preuzeto kao lokalni naziv
Slatki grijeh,smišljeno novo
Jama pod Ćikinim brdom II,smišljeno prema toponimu
Sklonište,smišljeno novo
Međed mutavi,smišljeno novo
Jama na Škrilama kraj Bakra,nepoznato podrijetlo
Polušpilja Generalski stol,smišljeno novo
Mala pod vidikovcem,smišljeno novo
Prdara 1,smišljeno novo
Špilja Miluša,smišljeno prema toponimu
Jama pod Kamenitim vratima,smišljeno prema toponimu
Zubanova jama,preuzeto kao lokalni naziv
Partizanska jama,preuzeto kao lokalni naziv
Jama Žalac,smišljeno novo
Špilja Nova 2,smišljeno novo
Jama u Šterni,smišljeno prema toponimu
Jama ispod Unišča,smišljeno prema toponimu
Jama poli Lokvicu 1,smišljeno prema toponimu
Juranska pećina,smišljeno prema toponimu
Jurjeva draga,smišljeno prema toponimu
Jama u Velim Sapcima 3,smišljeno prema toponimu
Ozbiljna jama 1,smišljeno novo
Podnjive,preuzeto kao lokalni naziv
Mala Ćulumova pećina,preuzeto kao lokalni naziv
Pećina kod Orihi,smišljeno prema toponimu
Jama među bukvicama,smišljeno novo
Brajdićeva jama,smišljeno prema toponimu
Jama Banovka,preuzeto kao lokalni naziv
Tri Gracije,smišljeno novo
Pećina u Brini treća,smišljeno novo
Kuna špilja,preuzeto kao lokalni naziv
Pukotina u tunelu polje Jezero-Peračko blato,smišljeno prema toponimu
Jama na Ložanjku,smišljeno prema toponimu
Elegancija,smišljeno novo
Tandaračina jama,smišljeno novo
Špilja na Samaru,smišljeno prema toponimu
Prva nakon 5,smišljeno novo
Jama pod Gradom,preuzeto kao lokalni naziv
Ne asocira,smišljeno novo
Pukotina nova,smišljeno novo
Krči,preuzeto kao lokalni naziv
Introvert jama,smišljeno novo
Pećina Beč na Gredi,smišljeno prema toponimu
Matiškina jama,preuzeto kao lokalni naziv
Zgubljena minđuša,smišljeno novo
Americana,smišljeno novo
Stražari 1,smišljeno novo
Golubinka u gaju,preuzeto kao lokalni naziv
Oko moje,smišljeno novo
Jama iznad Lipog dočića,smišljeno prema toponimu
Špilja podno gradine Zaskok,smišljeno prema toponimu
Jaz na Grudi,smišljeno novo
Jama Sv.Josipa,smišljeno novo
Samograd,preuzeto kao lokalni naziv
Jama u Kaciji,smišljeno prema toponimu
Špilja kod Orašačkog mola 2,smišljeno prema toponimu
Jama pod Koštakom,preuzeto kao lokalni naziv
Ninin kutak,smišljeno novo
Jama na Kunku,smišljeno prema toponimu
Ledena jama na Lepušju,smišljeno novo
Dvostruka jama Lemeš II,smišljeno prema toponimu
Jama u Štirovači,smišljeno prema toponimu
Borušnjak 4,smišljeno prema toponimu
Lepojka,smišljeno novo
Optimalna špilja,smišljeno novo
Špilja iznad sela Jelovičani,smišljeno prema toponimu
Jama ispod Belec grada,smišljeno prema toponimu
Mandalina,smišljeno prema toponimu
Jama Obor,smišljeno novo
Vidovića špilja,preuzeto kao lokalni naziv
Ozbiljna jama,smišljeno novo
Jama pod slapom,smišljeno novo
Jama na Kužnoj glavici,smišljeno prema toponimu
Bukvin zapetljaj,smišljeno novo
Prva jama,smišljeno novo
Bibića jama,preuzeto kao lokalni naziv
Kaverna kod VA 17-II,smišljeno novo
Jama Gluhe drage 2,smišljeno prema toponimu
Jama na Plase,smišljeno prema toponimu
Jama u Maloj gori,smišljeno prema toponimu
Mrtve mačke,preuzeto kao lokalni naziv
Jama pod Vitrenom glavicom,smišljeno prema toponimu
Bilina jama,preuzeto kao lokalni naziv
Pretnerova jama,smišljeno novo
Baksuz 2,smišljeno novo
Berajterova špilja,smišljeno novo
Krivača špilja,preuzeto kao lokalni naziv
Skoro jama,smišljeno novo
Mala Kozjača,preuzeto kao lokalni naziv
Špilja kod Bezdanke,smišljeno novo
Pećina u Pokrovniku,preuzeto iz literature
Jama na Ćukovači,smišljeno prema toponimu
Čelinja jama,preuzeto kao lokalni naziv
Jama sa smećem kod Zatke,smišljeno prema toponimu
Spilja Dovrtačasta,smišljeno novo
Pasja jama na Humu,smišljeno prema toponimu
Jama pod Velji vrh,smišljeno prema toponimu
Duga devetka,smišljeno novo
Volarova pećina,preuzeto kao lokalni naziv
Bujarići,smišljeno prema toponimu
Jama na Lovranskim lazićima,smišljeno prema toponimu
G19,smišljeno novo
Četvrtinka,smišljeno novo
Špilja u Steljnici,smišljeno prema toponimu
Deukalion jama,preuzeto kao lokalni naziv
Kolarska gora IV,preuzeto kao lokalni naziv
Snickers,smišljeno novo
Tražena jama na Raduču,smišljeno prema toponimu
Jama kod platoa 1,smišljeno novo
Mala špilja iznad uvale Slana,smišljeno prema toponimu
Spilja Izvor pod pećinom,preuzeto kao lokalni naziv
Breg jama,preuzeto kao lokalni naziv
Blekuša,smišljeno novo
Prkička 3,smišljeno prema toponimu
Pokisli pasić,smišljeno novo
Viroza,smišljeno novo
Rođendanska,smišljeno novo
Japančeva špilja,smišljeno novo
Istražena jama,smišljeno novo
Šćapica,smišljeno novo
Jama Paga,smišljeno novo
Šipnatica,smišljeno prema toponimu
Jama uz vlaku,smišljeno novo
Jama pod Ćikinim brdom,smišljeno prema toponimu
Golubnjača pod Sjenicom,nepoznato podrijetlo
Milovaščica,preuzeto kao lokalni naziv
Jama u Velim Sapcima 1,smišljeno prema toponimu
Špilja Čelija,preuzeto sa karte
KAS,smišljeno novo
Spilja u Japagama,smišljeno prema toponimu
Jama na Jamnjaku,smišljeno prema toponimu
Pećina 1 u Štroligovom dolu,smišljeno prema toponimu
Pirišće 1,preuzeto kao lokalni naziv
Podčorkica,smišljeno prema toponimu
Banjinska peć,preuzeto kao lokalni naziv
Jama u rovu kod karaule blizu sela Obadi,smišljeno novo
Špilja kod kompresorske stanice brodogradilišta Viktor Lenac,smišljeno prema toponimu
G36,smišljeno novo
Vačanuša,smišljeno prema toponimu
Matekova špilja 2,preuzeto kao lokalni naziv
Brlog 1,smišljeno novo
Kaverna s vodom u tunelu Blatsko polje - Bristva,smišljeno prema toponimu
Špilja u Solunu,smišljeno novo
Žedna jama,smišljeno novo
Bajićeva špilja 4,preuzeto kao lokalni naziv
Dvocijevka,smišljeno novo
Špilja Gradine,preuzeto kao lokalni naziv
Plitka peć,preuzeto kao lokalni naziv
Hot pants,smišljeno novo
Strmoglavica,preuzeto kao lokalni naziv
Korzenna,preuzeto iz literature
Smrzlinka,preuzeto kao lokalni naziv
Klementina 8,smišljeno prema toponimu
Kranjica pećina,preuzeto kao lokalni naziv
Sjever u štrajku,smišljeno novo
Jama na Međini,preuzeto kao lokalni naziv
Pećina u Rovinicama,smišljeno prema toponimu
Drvena Marija,smišljeno novo
Jama s vodom kraj sela Luka,smišljeno novo
Zmija Ledenica,smišljeno novo
Deveti život,smišljeno novo
Jama na Solinskom vrhu,smišljeno prema toponimu
Špilja iznad uvale Slana,smišljeno prema toponimu
Mali Štumbur,preuzeto kao lokalni naziv
Obična,smišljeno novo
Pipica,smišljeno novo
Kifla,smišljeno novo
Jama pod Velim krugom,smišljeno prema toponimu
Jama pod Šikulov breg,smišljeno prema toponimu
Didijeva jama,smišljeno novo
Gornja Baraćeva,preuzeto kao lokalni naziv
Konjska čarapa,smišljeno novo
Duga desetka,smišljeno novo
Balinka,preuzeto iz literature
Kajla s Marsa,smišljeno novo
Bukova rampa,smišljeno novo
Hrstička uspaljenica,smišljeno prema toponimu
Peć u Čulinovim raljevinama,preuzeto kao lokalni naziv
Sadina,smišljeno prema toponimu
Somova spilja,smišljeno novo
Golubinjka kod Validžića,preuzeto sa karte
Prduljak,smišljeno novo
Dišeća jama pod Kamenjakom,smišljeno prema toponimu
Jama na Bibnovcu,nepoznato podrijetlo
Bunar kod kote 270,smišljeno prema toponimu
Zdenec pri Ciglaru,preuzeto kao lokalni naziv
Velika špilja kod Antunovića,smišljeno prema toponimu
Špilja u Matkovićima,smišljeno prema toponimu
Jama iznad velike pećine,smišljeno novo
Blitvica,smišljeno novo
Špilja kod Vilišnice,smišljeno prema toponimu
Kaverna 1 na gradilištu multimedijalnog centra Matulji,smišljeno novo
Jama u Vršku,smišljeno prema toponimu
Jama na Kosici 2,smišljeno prema toponimu
Špilja iznad sela Kuštre,smišljeno prema toponimu
Vudrina jama,preuzeto kao lokalni naziv
Zorbo,preuzeto iz literature
Kozarevice 2,preuzeto sa karte
Špilja u Donjim Radićima,smišljeno prema toponimu
Šala mala,smišljeno novo
Bili kuk 2,smišljeno prema toponimu
Bela IV.,smišljeno novo
Očekivali smo više,smišljeno novo
Jama krošnja,smišljeno novo
Svijećnica 4,smišljeno novo
Jama pod Podjapaguša,smišljeno novo
Strguljin grad X1,smišljeno prema toponimu
Jama ispod starog puta,smišljeno novo
Dreševa jama,preuzeto kao lokalni naziv
Izvor Grabovac,preuzeto kao lokalni naziv
Jama prazne glave,smišljeno novo
Pećina kod Gajmovići,smišljeno prema toponimu
Ledeni brlog,smišljeno novo
Jama nasuprot Torka,smišljeno prema toponimu
izvor-špilja Rupećica,preuzeto kao lokalni naziv
Koriolan,smišljeno novo
Jama kod Seliškog vrha,smišljeno prema toponimu
Jama kod Kolića 1,smišljeno prema toponimu
Šest šest šest,smišljeno novo
Jama Tetris,smišljeno novo
Špilja bez dlakavog govna,smišljeno novo
Banova ljut,preuzeto kao lokalni naziv
Pećina na Kalini,preuzeto kao lokalni naziv
Križna jama u Drašnicama,smišljeno prema toponimu
Jama kod ušća Plitvice,smišljeno novo
Špajza Kod vode,smišljeno prema toponimu
Mala špilja,smišljeno novo
Bezdan,preuzeto kao lokalni naziv
Paredine 2,smišljeno prema toponimu
Nova jama kraj puta,smišljeno novo
Golubinka na Pozdravljanju,smišljeno prema toponimu
1A-2,preuzeto iz literature
Golubinka na Golubinskom umcu,preuzeto kao lokalni naziv
Kleščina,preuzeto kao lokalni naziv
Golubinka,preuzeto kao lokalni naziv
Yeti,smišljeno novo
122,smišljeno novo
Napuknuta,smišljeno novo
Pegina kućica,smišljeno novo
Šipun,preuzeto kao lokalni naziv
Hamham,smišljeno novo
Digitalni slap,smišljeno novo
Petnica,smišljeno prema toponimu
Kulića golubinka,preuzeto sa karte
Jama Vendeta,smišljeno novo
Jama Ipsilon,smišljeno novo
Vrelce mala,preuzeto kao lokalni naziv
Mudrijaška,smišljeno novo
Jama ugažene žabe,smišljeno novo
Krasovica,smišljeno prema toponimu
Špilja u uvali Podrope,smišljeno prema toponimu
Potkornjakova jama,smišljeno novo
Japaga kraj Ozdrvače,smišljeno prema toponimu
Jama na Maloj tratini,smišljeno prema toponimu
Pećina na Gradini kod Velih Laza,preuzeto iz literature
Jama u Krivodolu,preuzeto kao lokalni naziv
Jama u 6. odjelu,smišljeno prema toponimu
Špilja pod vrhom,smišljeno prema toponimu
Toccata e Fuga,smišljeno novo
Ponir,preuzeto kao lokalni naziv
Jama na kraj Zaluke,smišljeno prema toponimu
Lučina jama,smišljeno novo
Potpećina 3,nepoznato podrijetlo
Jama kod željezničke postaje Javornik,smišljeno prema toponimu
Halfway lengthen,smišljeno novo
Jama u Ravnoj Vlaškoj,smišljeno prema toponimu
Zakičnica VII,smišljeno novo
Lijina kuća,smišljeno novo
Pećina na Brini,smišljeno prema toponimu
Rodića špilja,preuzeto kao lokalni naziv
Medino zrno,smišljeno novo
Čista gotika,smišljeno novo
Vuco 2,smišljeno novo
Dražina pod Sten,preuzeto kao lokalni naziv
Hoba,smišljeno novo
Jama na Jančariji,smišljeno prema toponimu
Taka mala,preuzeto iz literature
Šterna,smišljeno novo
Milina jama,smišljeno novo
Maslina jama,preuzeto sa karte
Rođakova jama,smišljeno novo
Dupla Kuna,smišljeno novo
Jama u selu Kremena,preuzeto sa karte
Dvajst do asa,smišljeno novo
Špilja pod Šupljajom,smišljeno prema toponimu
Tri u dva,smišljeno novo
Pustinja,preuzeto kao lokalni naziv
Srebrna jama,smišljeno novo
Pećina na Zaluki,smišljeno prema toponimu
Špilja pokraj Božinkine,smišljeno novo
Jama južno od Rašporske jame,smišljeno prema toponimu
Đermenovac 2,smišljeno prema toponimu
Mišja rupa,smišljeno novo
Fosilnica,smišljeno novo
Baraćevac izvor,preuzeto kao lokalni naziv
Kanjonjača,smišljeno novo
Mrča 1,smišljeno prema toponimu
Divokozina katedrala,smišljeno novo
Jama na Latešo brdu,smišljeno prema toponimu
Izvor Rječine,preuzeto kao lokalni naziv
Pećinica u Glavi 2,smišljeno prema toponimu
Pećina na Coku,preuzeto kao lokalni naziv
Milina pećina,smišljeno prema toponimu
Jerova špilja,smišljeno prema toponimu
Jama na Teruncu,smišljeno prema toponimu
Velika špilja u izvoru Bučak,smišljeno prema toponimu
Opremljena jama,smišljeno novo
Proslap,preuzeto kao lokalni naziv
Karasova pećinica,preuzeto iz literature
Furkica,smišljeno prema toponimu
Jama više Hrstića stana,smišljeno prema toponimu
Dvostruka jama,smišljeno novo
Jama Uništa,smišljeno prema toponimu
Jama Lika čeka,smišljeno novo
Gnjusna jama,preuzeto kao lokalni naziv
Hrdovica,preuzeto kao lokalni naziv
Špilja Marije Ferenčine,preuzeto kao lokalni naziv
Ledenica u Štirovači,preuzeto kao lokalni naziv
Jama na Strmaščici,smišljeno prema toponimu
Vilinska jama na Šabinu,preuzeto kao lokalni naziv
Frašće,smišljeno prema toponimu
Golubinka kod Đedovih ograda,preuzeto iz literature
Jazbina,smišljeno novo
Pukotinska jama,smišljeno novo
Spilja Uplus,smišljeno novo
B10,smišljeno novo
Tam-tam,smišljeno novo
Jama Bizdar 2,preuzeto kao lokalni naziv
Jama na Bertiji 3,smišljeno prema toponimu
Jamica na Kralićevim dvorima,smišljeno prema toponimu
Jama nad Zasten,nepoznato podrijetlo
Minđalovka,smišljeno prema toponimu
Umetnuta špilja,smišljeno novo
Špilja kod Palačevića,smišljeno prema toponimu
Špilja poviše Malih Krčevina,smišljeno prema toponimu
Mada-me,smišljeno novo
Sekulićka jama,preuzeto kao lokalni naziv
Jama uz cestu za Vinovo,smišljeno prema toponimu
Kamenica 2,smišljeno prema toponimu
Grmljavina,smišljeno novo
Kasna jama,smišljeno novo
Trulo đubre,smišljeno novo
Intrigatna djevica,smišljeno novo
Četiri cvijeta,smišljeno novo
Jama Zadubravica,smišljeno prema toponimu
Perešinova pećina,preuzeto kao lokalni naziv
Rajkova pećina,preuzeto kao lokalni naziv
Ježeva kučica,smišljeno novo
Matina špilja,smišljeno novo
Lisičarka,preuzeto kao lokalni naziv
Braco,smišljeno novo
Pećina s pijeskom gornja,smišljeno prema toponimu
Jama pod Strihovim redom,preuzeto kao lokalni naziv
Pećina Lazinina 2,preuzeto kao lokalni naziv
FN 4,smišljeno novo
Špilja u ploči,smišljeno novo
Poli,smišljeno novo
Jama na sv. Juri - otkopana,smišljeno novo
Jedna do sto,smišljeno novo
Alisa u zemlji čuda,smišljeno novo
Pionirka,smišljeno novo
Jama na Križe,smišljeno prema toponimu
Ramona,smišljeno novo
Kus,preuzeto iz literature
Jama pod Vošcem,smišljeno prema toponimu
Gorica,preuzeto kao lokalni naziv
Bakarska vodica,smišljeno prema toponimu
Bubeš 1,smišljeno prema toponimu
05-824,smišljeno novo
Jama među Obljacima,smišljeno prema toponimu
Lubuška jama,smišljeno novo
Zlatna poluga,smišljeno novo
Zvonečka II,preuzeto kao lokalni naziv
Mala Veternica,smišljeno novo
Jeletina,nepoznato podrijetlo
Golubnjača u Devčićima,smišljeno prema toponimu
Orlića pećina,preuzeto sa karte
Marinčova spilja,preuzeto kao lokalni naziv
Krovna jama,smišljeno novo
Špilja ispod Kaluđerove,smišljeno prema toponimu
Jama 203,smišljeno novo
Skelinova špilja,nepoznato podrijetlo
Jama kod starog mlina,smišljeno prema toponimu
Jama pod Bijelim vrhom,smišljeno prema toponimu
Slavkova iskopina,smišljeno novo
Srčanik,smišljeno novo
Analogni disto,smišljeno novo
Vranjača na Porobljeniku,smišljeno prema toponimu
Sniježnica kraj Oaze,smišljeno novo
Čuvarica,smišljeno novo
Spilja iznad Skradinskog mosta,smišljeno prema toponimu
Jama malog ulaza,smišljeno novo
Zabluda,smišljeno novo
Goranka,smišljeno novo
Mastirina,preuzeto kao lokalni naziv
Špilja pod Turskom kulom,preuzeto kao lokalni naziv
Špilja na vrh Toraca,preuzeto kao lokalni naziv
Krmarica,smišljeno prema toponimu
Ossin grob,smišljeno novo
Jama pod barakom,nepoznato podrijetlo
Jama zlog vrtnog patuljka,smišljeno novo
Jama u Rasini,smišljeno prema toponimu
Drenovka,smišljeno prema toponimu
Jama pod procipom,smišljeno novo
Aj ti,smišljeno novo
Toranj,preuzeto kao lokalni naziv
Odesina šparugara,smišljeno novo
Pećina u Gaju,preuzeto kao lokalni naziv
Jama kod Sv. Vitala,smišljeno novo
Gnojinica,preuzeto kao lokalni naziv
Jama Badošnjak,smišljeno prema toponimu
Jama na Željeznim vratima,smišljeno prema toponimu
Barina jama,preuzeto kao lokalni naziv
Černična jama,smišljeno novo
Sakati sniješko,smišljeno novo
Kamenica 6,smišljeno prema toponimu
Sopača,preuzeto kao lokalni naziv
Vantova jama,nepoznato podrijetlo
Vilica,smišljeno novo
Izvor pećina uz Tomašić potok,smišljeno prema toponimu
Borka,smišljeno novo
Ovčja peć,preuzeto kao lokalni naziv
Žgincana jama,preuzeto kao lokalni naziv
Brža jama,smišljeno novo
Klementina 4,smišljeno prema toponimu
Pavića pećina,preuzeto sa karte
Jama kod potoka Banine 2,smišljeno prema toponimu
Misterij br. 5,smišljeno novo
Brezova jama,nepoznato podrijetlo
Primordijalni strah,smišljeno novo
Jama iznad Vranjske drage,smišljeno prema toponimu
Vela Banjska špilja,preuzeto kao lokalni naziv
Jama pod Goljakom,smišljeno prema toponimu
Druga šparugara,smišljeno novo
Hrvatska stotka,smišljeno novo
4 bužira,smišljeno novo
Gnat,smišljeno novo
Spilja iznad izvora 1,preuzeto kao lokalni naziv
Mala Tounjčica,smišljeno prema toponimu
Vodena jama,nepoznato podrijetlo
Ništa,smišljeno novo
Špilja Zdenac,preuzeto kao lokalni naziv
Smokvena,preuzeto kao lokalni naziv
Jamina Vazmineš,preuzeto kao lokalni naziv
Petrović za 3,smišljeno novo
Ješkalovica,preuzeto kao lokalni naziv
Pećina Debela sten 2,preuzeto kao lokalni naziv
Skorojama,smišljeno novo
Kovačeva bezdanica,preuzeto kao lokalni naziv
Kamena buzara,smišljeno novo
Jama Černilovo,preuzeto kao lokalni naziv
Ziraldova jama 2,preuzeto kao lokalni naziv
Hanžekova jama,preuzeto kao lokalni naziv
Jama Mačkovac,smišljeno prema toponimu
Abrina,smišljeno novo
Jama ispod Orljaka,smišljeno prema toponimu
El Kapital,smišljeno novo
Babića pećina,preuzeto sa karte
Bliznice,smišljeno novo
Jama u Kukalinama,smišljeno prema toponimu
Špilja u Gornjem lugu,smišljeno prema toponimu
Vugrinova spilja,preuzeto kao lokalni naziv
Jama pola fiksa,smišljeno novo
Tribanska jama,preuzeto iz literature
Mala jama,smišljeno novo
Jurišina špilja,smišljeno prema toponimu
Kotari,preuzeto kao lokalni naziv
Golubinka Derala,preuzeto kao lokalni naziv
Vešča Ravan,smišljeno prema toponimu
Todorovića špilja,preuzeto sa karte
Medena jama,smišljeno novo
Smrduša gornja,smišljeno novo
Marlena,smišljeno novo
Čarobna pločica,smišljeno novo
Jama kod platoa 2,smišljeno novo
Brgudac X,smišljeno novo
Opaljena jama pod Opaljenim vrškom,smišljeno prema toponimu
(Bee) Zdanka,smišljeno novo
Mrtvi Č,smišljeno novo
Jama Bazgovac,preuzeto iz literature
Snježnica u Medvjeđoj dolini,smišljeno prema toponimu
Mala modra puhaljka,smišljeno novo
Vrapčanka,smišljeno novo
Smokovica,preuzeto iz literature
Frnaža,preuzeto kao lokalni naziv
Špilja kod vrha Spile,smišljeno prema toponimu
Jama kod Velog vrha,smišljeno prema toponimu
Garofuli,smišljeno novo
Jama do PB,smišljeno prema toponimu
PX 7,smišljeno novo
Kiša korjenja,smišljeno novo
Pećina nema medvjeda,smišljeno novo
Zdjelarova bezdanica,smišljeno prema toponimu
Dvojama na Brgudcu,smišljeno prema toponimu
Oz,smišljeno novo
Štojsova jazavčarka,preuzeto kao lokalni naziv
Kapiš,smišljeno novo
Gvozdenka,preuzeto kao lokalni naziv
Špilja kod Zagruda u Vinogradu,smišljeno prema toponimu
Gornji ulaz u Kotlušu,smišljeno novo
Jama u Kapetanskom dolu,smišljeno prema toponimu
Šupljaja,preuzeto kao lokalni naziv
Špilja Izvor,preuzeto kao lokalni naziv
Ljulja,smišljeno prema toponimu
Masjupa,smišljeno novo
Tarzanica,smišljeno novo
Katakomba,smišljeno novo
Infarkt,smišljeno novo
Jama kod groblja,smišljeno novo
Špilja kod Vražjeg stolčeka,smišljeno prema toponimu
Špilja kod Nerezinog dola,smišljeno prema toponimu
Smrečna špilja,smišljeno novo
Špilja Josipa Tome Čorka,nepoznato podrijetlo
Tingl tangl,smišljeno novo
Koktel ljubavi,smišljeno novo
Spilja kod turske kule 2,smišljeno novo
Predpećca pećina,smišljeno prema toponimu
Stari ponor,smišljeno novo
Pećina u Hreljinu,smišljeno prema toponimu
Ispala pločica,smišljeno novo
Troganina jama mala,preuzeto iz literature
Okapač,smišljeno novo
Jama u Vrbanskoj dulibi,smišljeno prema toponimu
Špilja iza pilane,smišljeno novo
Jama na Roščici,smišljeno prema toponimu
Harare,smišljeno novo
Ivina jama podno Njiva,nepoznato podrijetlo
Špilja Buta,preuzeto sa karte
Kapelica pored puta,smišljeno novo
Jama pored nemirne,smišljeno novo
Neradnička jama,smišljeno novo
Jama Pan 3,smišljeno novo
Svijećnica 1,smišljeno novo
Prdekana,smišljeno novo
Golamilanka,smišljeno prema toponimu
Nadpodčorkica,smišljeno prema toponimu
Golubinka,preuzeto iz literature
Bicufinjača,preuzeto kao lokalni naziv
Brabonjci svibanjski,smišljeno novo
Sovina jama na malom Vitreniku,smišljeno prema toponimu
Pećinica Vala pod Krug,smišljeno prema toponimu
Predsjednički dvori,smišljeno novo
Jama balvan,smišljeno novo
UljeŽ,smišljeno novo
Jama u vali Grabri,smišljeno prema toponimu
Jama ispod Tominićevog brega,smišljeno prema toponimu
Pločica,smišljeno novo
Golubinka pored Sinkovića staja,smišljeno prema toponimu
Špilja u škripovima,smišljeno prema toponimu
Predraguša,smišljeno prema toponimu
Ivanova pećinica,smišljeno novo
Frankina jama,smišljeno novo
G3,smišljeno novo
Ober,preuzeto kao lokalni naziv
Vrnjika,smišljeno prema toponimu
Jama na Lepušju,smišljeno prema toponimu
Jama iznad Bosnića ponora,smišljeno prema toponimu
Tonjive,smišljeno novo
Jama u Srnjaku,smišljeno prema toponimu
Jama Koprivnica,smišljeno prema toponimu
Kriva špilja,smišljeno novo
Šatorinska puhalica,smišljeno prema toponimu
Kovčići pećina,preuzeto kao lokalni naziv
"SG 8,24",smišljeno prema toponimu
Miškovka,smišljeno novo
Pršutova jama,smišljeno novo
Krštinica,preuzeto kao lokalni naziv
Jama na brdu Lučko,smišljeno prema toponimu
Jama Korušćica,preuzeto kao lokalni naziv
Opa,smišljeno novo
Karaminka,smišljeno novo
Brana špilja 2,smišljeno prema toponimu
Malinovaja radost,smišljeno novo
Feratka,smišljeno novo
Krumpova jama,smišljeno novo
Paškova špilja u Driskoču,smišljeno prema toponimu
Ponor pod Točkom Perjasičkim,smišljeno prema toponimu
Jama na Vršičaku,smišljeno prema toponimu
Jama u ogradi,smišljeno novo
Kaverna 1 ZTC,smišljeno novo
Mamulina pećina,preuzeto iz literature
33 svjećice na Crnopcu,smišljeno novo
Rupa u travi,smišljeno novo
Stotrizsedma,smišljeno novo
Ne pada mi na pamet,smišljeno novo
Nikolićeva pećina,preuzeto kao lokalni naziv
Žarnava garma,preuzeto kao lokalni naziv
Kozja peć,smišljeno novo
Provala,smišljeno novo
Špiljica iza čeke,smišljeno novo
Oklen II,smišljeno prema toponimu
Zimnica,smišljeno novo
Prdara 2,smišljeno novo
Dupla jamica,smišljeno novo
Slobodna jama,smišljeno novo
Dragića špilja 1,smišljeno prema toponimu
Radni ponedjeljak,smišljeno novo
Jama ispod prijevoja,smišljeno novo
Jama na Zaluke (levi bok),smišljeno prema toponimu
Jama na putu za sv. Paškala,smišljeno prema toponimu
Troganina jama velika,preuzeto iz literature
